,coords,col_2,type,nom,dict
0,"[44.6046, -0.36962]","[0, 1]",EC,Podensac,"{'numero': '2', 'roadname': 'A62'}"
1,"[44.6462, -0.435586]","[-0.532729, 0.846286]",AS,Terres de Graves Nord,{'roadname': 'A62'}
2,"[44.6462, -0.435586]","[0.542148, -0.840283]",AS,Terres de Graves Sud,{'roadname': 'A62'}
3,"[44.6592, -0.45403699999999997]","[0.7071069999999999, -0.7071069999999999]",BA,Saint Selve,{'roadname': 'A62'}
4,"[44.6938, -0.496154]","[0, 1]",EC,La Br&ecirc;de,"{'numero': '1.1', 'roadname': 'A62'}"
5,"[44.9021, -0.493648]","[0, 1]",EC,Carbon Blanc,"{'numero': '44', 'roadname': 'A10'}"
6,"[44.8914, -0.501698]","[0, 1]",EC,Lormont,"{'numero': '45', 'roadname': 'A10'}"
7,"[44.8914, -0.501705]","[0, 1]",EC,Lormont,"{'numero': '45', 'roadname': 'A10'}"
8,"[44.9097, -0.488668]","[0, 1]",EC,Saint Eulalie,"{'numero': '43', 'roadname': 'A10'}"
9,"[44.8849, -0.51056]","[0, 1]",LI,Debut A10,{'roadname': 'A10'}
10,"[44.9299, -0.469556]","[0, 1]",EC,Ambar&egrave;s-Saint Loub&egrave;s,"{'numero': '42', 'roadname': 'A10'}"
11,"[44.9475, -0.464931]","[0, 1]",EC,Amb&egrave;s,"{'numero': '41', 'roadname': 'A10'}"
12,"[44.9767, -0.432454]","[-0.26404099999999997, -0.964511]",AS,L&apos;Estalot,{'roadname': 'A10'}
13,"[44.9767, -0.432454]","[0.283848, 0.958869]",AS,Meillac,{'roadname': 'A10'}
14,"[44.986, -0.42769799999999997]","[0, 1]",EC,Saint Andr&eacute;,"{'numero': '40', 'roadname': 'A10'}"
15,"[44.8851, -0.268632]","[0.0348995, 0.9993909999999999]",BA,Barri&egrave;re d&apos;Arveyres,{'roadname': 'A89'}
16,"[44.8737, -0.28587599999999996]","[0, 1]",EC,Libourne Ouest,"{'numero': '9', 'roadname': 'A89'}"
17,"[44.9598, -0.247185]","[0, 1]",EC,Libourne Nord,"{'numero': '10', 'roadname': 'A89'}"
18,"[44.98, -0.17958000000000002]","[-0.906897, -0.421352]",AR,Vignes Nord,{'roadname': 'A89'}
19,"[44.98, -0.17958000000000002]","[0.733255, 0.6799529999999999]",AR,Vignes Sud,{'roadname': 'A89'}
20,"[45.0236, -0.43558199999999997]","[0.26707000000000003, -0.963677]",BA,Barri&egrave;re de Virsac,{'roadname': 'A10'}
21,"[45.0128, -0.42980799999999997]","[0, 1]",EC,Libourne/Saint Antoine,"{'numero': '39', 'roadname': 'A10'}"
22,"[45.0666, -0.461825]","[-0.27160799999999996, 0.9624079999999999]",AR,Cezac,{'roadname': 'A10'}
23,"[45.1075, -0.48274599999999995]","[0.125853, -0.992049]",AR,Saint Christoly,{'roadname': 'A10'}
24,"[45.3714, -0.593244]","[0, 1]",EC,Mirambeau,"{'numero': '37', 'roadname': 'A10'}"
25,"[45.1891, -0.491907]","[-0.22597099999999998, 0.9741339999999999]",AS,Saugon Est,{'roadname': 'A10'}
26,"[45.1891, -0.491907]","[0.243446, -0.969915]",AS,Saugon Ouest,{'roadname': 'A10'}
27,"[45.2552, -0.542816]","[0, 1]",EC,Blaye-Montendre,"{'numero': '38', 'roadname': 'A10'}"
28,"[45.3137, -0.558726]","[-0.0687118, 0.997637]",AR,Boisredon,{'roadname': 'A10'}
29,"[45.297, -0.554901]","[0.17330399999999999, -0.984868]",AR,Saint Caprais,{'roadname': 'A10'}
30,"[44.983, 0.153823]","[0, 1]",EC,Montpont,"{'numero': '12', 'roadname': 'A89'}"
31,"[45.0094, -0.095207]","[0, 1]",EC,Coutras,"{'numero': '11', 'roadname': 'A89'}"
32,"[45.0004, 0.0350585]","[0.9722069999999999, -0.234124]",AS,Palombi&egrave;res,{'roadname': 'A89'}
33,"[45.0004, 0.0350585]","[-0.577573, 0.8163389999999999]",AS,Palombi&egrave;res,{'roadname': 'A89'}
34,"[45.0126, 0.380756]","[0, 1]",EC,Mussidan Sud,"{'numero': '13', 'roadname': 'A89'}"
35,"[45.0654, 0.429766]","[0.5, 0.8660249999999999]",BA,Barri&egrave;re de Mussidan/Sourzac,{'roadname': 'A89'}
36,"[45.0675, 0.43321000000000004]","[0, 1]",EC,Mussidan Est,"{'numero': '13.1', 'roadname': 'A89'}"
37,"[45.1407, 0.5485369999999999]","[0, 1]",EC,P&eacute;rigueux Ouest,"{'numero': '14', 'roadname': 'A89'}"
38,"[45.141, 0.699422]","[0, 1]",EC,P&eacute;rigueux Sud,"{'numero': '15', 'roadname': 'A89'}"
39,"[45.4418, -0.607668]","[-0.08054689999999999, 0.9967509999999999]",AR,Saint-Ciers Est,{'roadname': 'A10'}
40,"[45.4418, -0.607668]","[0.27563699999999997, -0.961262]",AR,Saint-Ciers Ouest,{'roadname': 'A10'}
41,"[45.5129, -0.612663]","[0.045188599999999995, 0.9989779999999999]",AR,Saint-Palais Est,{'roadname': 'A10'}
42,"[45.5129, -0.612663]","[-0.0974092, -0.9952439999999999]",AR,Saint-Palais Ouest,{'roadname': 'A10'}
43,"[45.5763, -0.599828]","[0, 1]",EC,Pons,"{'numero': '36', 'roadname': 'A10'}"
44,"[45.6114, -0.600881]","[-0.338902, 0.9408219999999999]",AS,Saint L&eacute;ger Est,{'roadname': 'A10'}
45,"[45.6114, -0.600881]","[0.32292699999999996, -0.9464239999999999]",AS,Saint L&eacute;ger Ouest,{'roadname': 'A10'}
46,"[45.7046, -0.651922]","[-0.15057099999999998, 0.988599]",AR,Chermignac Est,{'roadname': 'A10'}
47,"[45.7046, -0.651922]","[0.24632199999999999, -0.9691879999999999]",AR,Chermignac Ouest,{'roadname': 'A10'}
48,"[45.7984, -0.6585559999999999]","[0.422618, 0.906308]",AR,Port d&apos;envaux Est,{'roadname': 'A10'}
49,"[45.7984, -0.6585559999999999]","[-0.422618, -0.906308]",AR,Port d&apos;Envaux Ouest,{'roadname': 'A10'}
50,"[45.7833, -0.667852]","[0, 1]",BI,Jonction A10/A837,{'roadname': 'A837'}
51,"[45.7542, -0.6720419999999999]","[0, 1]",EC,Saintes,"{'numero': '35', 'roadname': 'A10'}"
52,"[45.8412, -0.713061]","[-0.15298599999999998, 0.988228]",AR,La Pierre de Crazannes,{'roadname': 'A837'}
53,"[45.8672, -0.732717]","[0.174508, -0.984656]",AR,Oiseaux,{'roadname': 'A837'}
54,"[45.9619, -0.958067]","[0, 1]",EC,Rochefort Nord,"{'numero': '32', 'roadname': 'A837'}"
55,"[45.9671, -0.9782829999999999]","[0, 1]",EC,Rochefort Ouest,"{'numero': '31', 'roadname': 'A837'}"
56,"[45.9441, -0.8491000000000001]","[0.573576, -0.819152]",BA,Barri&egrave;re de Cabariot,{'roadname': 'A837'}
57,"[45.9541, -0.8574379999999999]","[0, 1]",EC,Tonnay - RD739,"{'numero': '34', 'roadname': 'A837'}"
58,"[45.956, -0.887536]","[0, 1]",EC,Tonnay - RD137,"{'numero': '33', 'roadname': 'A837'}"
59,"[45.9698, -0.9838669999999999]","[0, 1]",LI,D&eacute;but A837,{'roadname': 'A837'}
60,"[45.8935, -0.603549]","[0.642788, 0.766044]",AS,Fenioux Est,{'roadname': 'A10'}
61,"[45.8935, -0.603549]","[-0.642788, -0.766044]",AS,Fenioux Ouest,{'roadname': 'A10'}
62,"[45.9666, -0.549978]","[0, 1]",EC,Saint Jean d&apos;Angely,"{'numero': '34', 'roadname': 'A10'}"
63,"[46.0106, -0.5406909999999999]","[0.030189599999999997, 0.999544]",AR,La Ben&acirc;te,{'roadname': 'A10'}
64,"[46.0239, -0.5409809999999999]","[-0.105917, -0.994375]",AR,Lozay,{'roadname': 'A10'}
65,"[46.6436, -1.5183900000000001]","[0, 1]",EC,La Roche/Yon Ouest,"{'numero': '33', 'roadname': 'A87'}"
66,"[46.6427, -1.5239500000000001]","[0, 1]",LI,Fin A87,{'roadname': 'A87'}
67,"[46.6374, -1.39843]","[0, 1]",EC,La Roche/Yon Centre,"{'numero': '31', 'roadname': 'A87'}"
68,"[46.6279, -1.43763]","[0, 1]",EC,La Roche/Yon Sud,"{'numero': '32', 'roadname': 'A87'}"
69,"[46.5369, -1.07859]","[0, 1]",EC,Sainte Hermine,"{'numero': '7', 'roadname': 'A83'}"
70,"[46.6281, -1.14814]","[0, 1]",EC,Chantonnay,"{'numero': '6', 'roadname': 'A83'}"
71,"[46.5721, -1.11298]","[-0.393621, 0.919273]",AS,Vend&eacute;e Est,{'roadname': 'A83'}
72,"[46.5721, -1.11298]","[0.282341, -0.959314]",AS,Vend&eacute;e Ouest,{'roadname': 'A83'}
73,"[46.1155, -0.53368]","[0.0106463, 0.9999429999999999]",AR,Doeuil-sur-le-Mignon Est,{'roadname': 'A10'}
74,"[46.1155, -0.53368]","[-0.102619, -0.994721]",AR,Doeuil-sur-le-Mignon Ouest,{'roadname': 'A10'}
75,"[46.2227, -0.44829199999999997]","[-0.343987, -0.938974]",AR,Gript Nord,{'roadname': 'A10'}
76,"[46.2227, -0.44829199999999997]","[0.481448, 0.876475]",AR,Gript Sud,{'roadname': 'A10'}
77,"[46.2384, -0.435938]","[0, 1]",EC,La Rochelle-Niort,"{'numero': '33', 'roadname': 'A10'}"
78,"[46.2964, -0.37570899999999996]","[-0.786504, -0.6175849999999999]",AS,Poitou Charentes Nord,{'roadname': 'A10'}
79,"[46.2981, -0.37111099999999997]","[0.786504, 0.6175849999999999]",AS,Poitou Charentes Sud,{'roadname': 'A10'}
80,"[46.3057, -0.35866899999999996]","[0, 1]",EC,Limoges-Niort,"{'numero': '32', 'roadname': 'A10'}"
81,"[46.4466, -0.852074]","[-0.5781419999999999, 0.815936]",AR,Auzay Est,{'roadname': 'A83'}
82,"[46.454, -0.864177]","[0.8071659999999999, -0.590324]",AR,Auzay Ouest,{'roadname': 'A83'}
83,"[46.4333, -0.818726]","[0, 1]",EC,Fontenay le Comte,"{'numero': '8', 'roadname': 'A83'}"
84,"[46.4599, -0.881687]","[0, 1]",EC,Fontenay Ouest,"{'numero': '7.1', 'roadname': 'A83'}"
85,"[46.3909, -0.656785]","[0, 1]",EC,Niort Ouest,"{'numero': '9', 'roadname': 'A83'}"
86,"[46.415, -0.398269]","[0, 1]",EC,Niort Nord,"{'numero': '10', 'roadname': 'A83'}"
87,"[46.4297, -0.5048119999999999]","[-0.998382, 0.056867]",AS,La Canepeti&egrave;re,{'roadname': 'A83'}
88,"[46.4297, -0.5048119999999999]","[0.9791519999999999, 0.203129]",AS,La Chateaudrie,{'roadname': 'A83'}
89,"[46.3574, -0.271626]","[-0.620601, -0.784127]",AR,Sainte N&eacute;omaye Nord,{'roadname': 'A10'}
90,"[46.3574, -0.271626]","[0.6211479999999999, 0.783693]",AR,Sainte N&eacute;omaye Sud,{'roadname': 'A10'}
91,"[46.3453, -0.299963]","[0, 1]",BI,jonction A10/A83,{'roadname': 'A83'}
92,"[46.3555, -0.33750399999999997]","[0, 1]",EC,Niort Est,"{'numero': '11', 'roadname': 'A83'}"
93,"[46.4148, -0.12111000000000001]","[-0.875296, -0.48358799999999996]",AR,Sainte Eanne Nord,{'roadname': 'A10'}
94,"[46.4148, -0.12111000000000001]","[0.917962, 0.396667]",AR,Sainte Eanne Sud,{'roadname': 'A10'}
95,"[46.4522, -0.017556]","[-0.8308869999999999, -0.556441]",AS,Rouill&eacute;-Pamproux Nord,{'roadname': 'A10'}
96,"[46.4522, -0.017556]","[0.7858569999999999, 0.618408]",AS,Rouill&eacute;-Pamproux Sud,{'roadname': 'A10'}
97,"[46.4292, -0.0818305]","[0, 1]",EC,Saint Maix-Lusignan,"{'numero': '31', 'roadname': 'A10'}"
98,"[46.5111, 0.147397]","[-0.982483, 0.186353]",AR,Coulombiers Nord,{'roadname': 'A10'}
99,"[46.5111, 0.147397]","[0.975726, 0.218995]",AR,Coulombiers Sud,{'roadname': 'A10'}
100,"[46.5663, 0.28779499999999997]","[0.14435599999999998, 0.9895259999999999]",AR,Les Quatre vents,{'roadname': 'A10'}
101,"[46.5534, 0.28182399999999996]","[0, 1]",EC,Poitiers Sud,"{'numero': '30', 'roadname': 'A10'}"
102,"[46.5989, 0.310122]","[-0.566981, -0.823731]",AR,Cent Septiers,{'roadname': 'A10'}
103,"[46.6232, 0.34818000000000005]","[0, 1]",EC,Poitiers Nord,"{'numero': '29', 'roadname': 'A10'}"
104,"[48.4075, -2.40962]","[0, 1]",BI,Jonction N12/N176,{'roadname': 'N176'}
105,"[48.4163, -2.3156600000000003]","[0, 1]",EC,Jugon les Lacs,{'roadname': 'N176'}
106,"[48.4082, -2.34471]","[0, 1]",EC,Pl&eacute;d&eacute;liac,{'roadname': 'N176'}
107,"[48.4082, -2.34471]","[0, 1]",EC,Pl&eacute;d&eacute;liac,{'roadname': 'N176'}
108,"[48.4163, -2.3156600000000003]","[0, 1]",EC,Jugon les Lacs,{'roadname': 'N176'}
109,"[48.4368, -2.14494]","[0, 1]",EC,Vild&eacute;-Guingalan,{'roadname': 'N176'}
110,"[48.4265, -2.18635]","[-0.9961949999999999, -0.0871557]",AR,Aire du Pays de Pl&eacute;lan,{'roadname': 'N176'}
111,"[48.426, -2.22003]","[0, 1]",EC,Pl&eacute;lan le Petit,{'roadname': 'N176'}
112,"[48.426, -2.22003]","[0, 1]",EC,Pl&eacute;lan le Petit,{'roadname': 'N176'}
113,"[48.4265, -2.18635]","[0.9848079999999999, 0.173648]",AR,Aire du Pays de Pl&eacute;lan,{'roadname': 'N176'}
114,"[48.4368, -2.14494]","[0, 1]",EC,Vild&eacute;-Guingalan,{'roadname': 'N176'}
115,"[48.4486, -2.09328]","[0, 1]",EC,Qu&eacute;vert,{'roadname': 'N176'}
116,"[48.4486, -2.09328]","[0, 1]",EC,Qu&eacute;vert,{'roadname': 'N176'}
117,"[48.5207, -2.03811]","[0, 1]",EC,Pleslin-Trigavou,{'roadname': 'N176'}
118,"[48.481700000000004, -2.04316]","[0, 1]",EC,Taden,{'roadname': 'N176'}
119,"[48.481700000000004, -2.04316]","[0, 1]",EC,Taden,{'roadname': 'N176'}
120,"[48.5207, -2.03811]","[0, 1]",EC,Pleslin-Trigavou,{'roadname': 'N176'}
121,"[48.4688, -2.06015]","[0, 1]",EC,Dinan Z.I.,{'roadname': 'N176'}
122,"[48.4688, -2.06015]","[0, 1]",EC,Dinan Z.I.,{'roadname': 'N176'}
123,"[48.5449, -1.9223500000000002]","[0, 1]",EC,Miniac-Morvan,{'roadname': 'N176'}
124,"[48.5412, -1.9571100000000001]","[0, 1]",EC,1/2 &eacute;changeur La Ville-&egrave;s-Nonais,{'roadname': 'N176'}
125,"[48.535, -2.01173]","[0, 1]",EC,Saint-Georges-de-Gr&eacute;haigne,{'roadname': 'N176'}
126,"[48.535, -2.01173]","[0, 1]",EC,Saint-Georges-de-Gr&eacute;haigne,{'roadname': 'N176'}
127,"[48.5412, -1.9571100000000001]","[0, 1]",EC,1/2 &eacute;changeur La Ville-&egrave;s-Nonais,{'roadname': 'N176'}
128,"[48.5449, -1.9223500000000002]","[0, 1]",EC,Miniac-Morvan,{'roadname': 'N176'}
129,"[46.6728, -1.3460100000000002]","[-0.819152, -0.573576]",BA,La Roche/Yon Est,{'roadname': 'A87'}
130,"[46.6702, -1.35296]","[0, 1]",EC,La Roche/Yon Est,"{'numero': '30', 'roadname': 'A87'}"
131,"[46.7678, -1.17855]","[0.44401, -0.896022]",AR,Grissay,{'roadname': 'A83'}
132,"[46.7678, -1.17855]","[-0.337752, 0.9412349999999999]",AR,Sainte Florence,{'roadname': 'A83'}
133,"[46.7922, -1.19876]","[0, 1]",EC,Les Essarts,"{'numero': '5', 'roadname': 'A83'}"
134,"[46.8736, -1.28552]","[-0.15471000000000001, 0.9879600000000001]",AS,Chavagnes en Paillers,{'roadname': 'A83'}
135,"[46.879, -1.28796]","[0.30353399999999997, -0.9528209999999999]",AS,Les Brouzils,{'roadname': 'A83'}
136,"[46.8084, -1.20805]","[0, 1]",BI,jonction A83/A87,{'roadname': 'A87'}
137,"[46.9061, -1.0505]","[0.553246, 0.8330179999999999]",AS,Aire des Herbiers,{'roadname': 'A87'}
138,"[46.9032, -1.05475]","[0, 1]",EC,Les Herbiers,"{'numero': '29', 'roadname': 'A87'}"
139,"[47.1147, -1.49195]","[0.5, -0.8660249999999999]",BA,Le Bignon,{'roadname': 'A83'}
140,"[47.1319, -1.50718]","[0, 1]",EC,La Cour Neuve,"{'numero': '2', 'roadname': 'A83'}"
141,"[46.9609, -1.3577]","[0, 1]",EC,Montaigu,"{'numero': '4', 'roadname': 'A83'}"
142,"[47.0219, -1.39843]","[-0.383167, 0.9236789999999999]",AR,Remouill&eacute; Est,{'roadname': 'A83'}
143,"[47.0219, -1.39843]","[0.36113599999999996, -0.9325129999999999]",AR,Remouill&eacute; Ouest,{'roadname': 'A83'}
144,"[47.0739, -1.4390800000000001]","[0, 1]",EC,Aigrefeuille,"{'numero': '3', 'roadname': 'A83'}"
145,"[46.9415, -0.9737119999999999]","[0, 1]",EC,La Verrie,"{'numero': '28', 'roadname': 'A87'}"
146,"[47.0164, -0.8776649999999999]","[0, 1]",EC,Cholet Sud,"{'numero': '27', 'roadname': 'A87'}"
147,"[47.0865, -0.8240959999999999]","[0, 1]",EC,Cholet Nord,"{'numero': '26', 'roadname': 'A87'}"
148,"[47.136, -0.824689]","[0.031236299999999998, 0.999512]",AS,Tr&eacute;mentines Est,{'roadname': 'A87'}
149,"[47.136, -0.824689]","[-0.172961, -0.9849289999999999]",AS,Tr&eacute;mentines Ouest,{'roadname': 'A87'}
150,"[47.2395, -0.731158]","[0, 1]",EC,Chemill&eacute;,"{'numero': '25', 'roadname': 'A87'}"
151,"[47.2658, -1.58737]","[0, 1]",EC,Porte de Rennes,"{'numero': '37', 'roadname': 'A11'}"
152,"[47.2912, -1.47564]","[0, 1]",EC,Nantes - Centre Carquefou,"{'numero': '22', 'roadname': 'A11'}"
153,"[47.2774, -1.5185]","[0, 1]",EC,Nantes - Est,"{'numero': '24', 'roadname': 'A11'}"
154,"[47.2912, -1.47564]","[0, 1]",EC,Nantes Centre - Carquefou,"{'numero': '22', 'roadname': 'A11'}"
155,"[47.3392, -1.3821400000000001]","[0.7748339999999999, 0.632165]",AR,Launay,{'roadname': 'A11'}
156,"[47.3392, -1.3821400000000001]","[-0.768284, -0.6401100000000001]",AR,Le Cellier,{'roadname': 'A11'}
157,"[47.4006, -1.19587]","[-0.906308, -0.422618]",BA,Barri&egrave;re d&apos;Ancenis,{'roadname': 'A11'}
158,"[47.4019, -1.19077]","[0, 1]",EC,Ancenis,"{'numero': '20', 'roadname': 'A11'}"
159,"[47.3264, -0.604078]","[-0.173648, -0.9848079999999999]",BA,Beaulieu,{'roadname': 'A87'}
160,"[47.3334, -0.6014349999999999]","[0, 1]",EC,Thouarc&eacute;,"{'numero': '24', 'roadname': 'A87'}"
161,"[47.4191, -1.0161]","[0.952874, -0.30336799999999997]",AS,Varades &ndash; Pays d&rsquo;Ancenis,{'roadname': 'A11'}
162,"[47.4191, -1.0161]","[-0.979258, 0.202616]",AS,Varades &ndash; Pays de la Loire,{'roadname': 'A11'}
163,"[47.4341, -0.812788]","[0, 1]",EC,Beaupr&eacute;au - Chalonnes-sur-Loire,"{'numero': '19', 'roadname': 'A11'}"
164,"[47.4344, -0.790689]","[0.9996659999999999, 0.025828]",AR,Le R&eacute;veillon,{'roadname': 'A11'}
165,"[47.4344, -0.790689]","[-0.9442039999999999, -0.32936099999999996]",AR,Les Montilets,{'roadname': 'A11'}
166,"[47.4655, -0.6905279999999999]","[0, 1]",EC,Saint Jean de Lini&egrave;res,"{'numero': '18', 'roadname': 'A11'}"
167,"[47.4941, -0.622954]","[0, 1]",EC,Angers Ouest,"{'numero': '17', 'roadname': 'A11'}"
168,"[47.3917, -0.543457]","[0, 1]",EC,M&ucirc;rs Erign&eacute;,"{'numero': '23', 'roadname': 'A87'}"
169,"[47.3957, -0.527227]","[0, 1]",EC,M&ucirc;rs Erign&eacute; Centre,"{'numero': '22.1', 'roadname': 'A87'}"
170,"[47.4422, -0.512551]","[0, 1]",EC,Angers Centre,"{'numero': '20', 'roadname': 'A87N'}"
171,"[47.4663, -0.5161979999999999]","[0, 1]",EC,Angers Est,"{'numero': '18.a', 'roadname': 'A87N'}"
172,"[47.4628, -0.517006]","[0, 1]",EC,Angers Sud,"{'numero': '18.b', 'roadname': 'A87N'}"
173,"[47.3998, -0.513655]","[0, 1]",EC,Brissac Quinc&eacute;,"{'numero': '22', 'roadname': 'A87N'}"
174,"[47.4379, -0.5101789999999999]","[0, 1]",EC,Les ponts de C&eacute;,"{'numero': '21', 'roadname': 'A87N'}"
175,"[47.4338, -0.5080439999999999]","[0, 1]",EC,Moulin Marcille,{'roadname': 'A87N'}
176,"[47.4545, -0.5151939999999999]","[0, 1]",EC,Tr&eacute;laz&eacute;,"{'numero': '19', 'roadname': 'A87N'}"
177,"[47.5008, -0.48993299999999995]","[-0.972329, 0.233615]",AS,Aire des Portes d&apos;Angers,{'roadname': 'A11'}
178,"[47.5008, -0.48993299999999995]","[0.972329, -0.233615]",AS,Aire des Portes d&apos;Angers,{'roadname': 'A11'}
179,"[47.5022, -0.5027739999999999]","[0, 1]",BI,Bifurcation A11/A87,{'roadname': 'A11'}
180,"[47.4913, -0.534683]","[0, 1]",EC,Angers Centre,"{'numero': '15', 'roadname': 'A11'}"
181,"[47.4958, -0.564448]","[0, 1]",EC,Angers Nord,"{'numero': '16', 'roadname': 'A11'}"
182,"[47.5022, -0.502772]","[0, 1]",EC,G&acirc;tignolle,"{'numero': '14', 'roadname': 'A87N'}"
183,"[47.5004, -0.487052]","[0, 1]",EC,Jonction A11/RD323,"{'numero': '13.1', 'roadname': 'A11'}"
184,"[47.4827, -0.498745]","[0, 1]",EC,Le Plessis Grammoire,"{'numero': '16', 'roadname': 'A87N'}"
185,"[47.4946, -0.49821499999999996]","[0, 1]",EC,Parc des Expositions,"{'numero': '15', 'roadname': 'A87N'}"
186,"[47.4733, -0.507052]","[0, 1]",EC,Saumur,"{'numero': '17', 'roadname': 'A87N'}"
187,"[47.5202, -0.366656]","[0.9961949999999999, 0.0871557]",AR,Baun&eacute; Est,{'roadname': 'A11'}
188,"[47.5202, -0.366656]","[-0.9961949999999999, -0.0871557]",AR,Baun&eacute; Ouest,{'roadname': 'A11'}
189,"[47.5185, -0.431678]","[0, 1]",EC,Pellouailles-les-Vignes,"{'numero': '13', 'roadname': 'A11'}"
190,"[47.4189, -0.133188]","[0.766044, -0.642788]",AS,Longu&eacute;-la-Couaille,{'roadname': 'A85'}
191,"[47.4189, -0.133188]","[-0.766044, 0.642788]",AS,Longu&eacute;-les-Cossonni&egrave;res,{'roadname': 'A85'}
192,"[47.4722, -0.19194699999999998]","[0, 1]",EC,Beaufort en Vall&eacute;e,"{'numero': '1', 'roadname': 'A85'}"
193,"[47.4043, -0.120529]","[0, 1]",EC,Longu&eacute;-Jumelles,"{'numero': '2', 'roadname': 'A85'}"
194,"[47.5394, -0.341286]","[-0.34202000000000005, -0.939693]",BA,Corz&eacute;,{'roadname': 'A11'}
195,"[47.5426, -0.34052899999999997]","[0, 1]",BI,Bifurcation A85/A11,{'roadname': 'A85'}
196,"[47.5426, -0.34052899999999997]","[0, 1]",BI,Jonction A11/A85,{'roadname': 'A11'}
197,"[47.5645, -0.330849]","[0, 1]",EC,Seiches sur Le Loir,"{'numero': '12', 'roadname': 'A11'}"
198,"[47.6237, -0.28093599999999996]","[0.509342, 0.860564]",AR,Chapelle Saint Laud Est,{'roadname': 'A11'}
199,"[47.6237, -0.28093599999999996]","[-0.163843, -0.986487]",AR,Chapelle Saint Laud Ouest,{'roadname': 'A11'}
200,"[47.6667, -0.26521]","[0, 1]",EC,Durtal,"{'numero': '11', 'roadname': 'A11'}"
201,"[47.8054, -0.16741899999999998]","[0.363739, 0.9315009999999999]",AS,Parc&eacute;-sur-Sarthe Est,{'roadname': 'A11'}
202,"[47.8054, -0.16741899999999998]","[-0.34939000000000003, -0.936977]",AS,Parc&eacute;-sur-Sarthe Ouest,{'roadname': 'A11'}
203,"[47.7788, -0.206445]","[0, 1]",EC,Sabl&eacute;-La Fl&ecirc;che,"{'numero': '10', 'roadname': 'A11'}"
204,"[46.7029, 0.37099699999999997]","[0.20449599999999998, 0.9788669999999999]",AS,Poitiers-Chinc&eacute;,{'roadname': 'A10'}
205,"[46.7029, 0.37099699999999997]","[-0.33561599999999997, -0.9419989999999999]",AS,Poitiers-Jaunay-Clan,{'roadname': 'A10'}
206,"[46.6723, 0.35797399999999996]","[0, 1]",EC,Futuroscope,"{'numero': '28', 'roadname': 'A10'}"
207,"[46.7945, 0.510648]","[0.270768, 0.962645]",AR,Chagnats,{'roadname': 'A10'}
208,"[46.7945, 0.510648]","[-0.110428, -0.993884]",AR,Les Meuniers,{'roadname': 'A10'}
209,"[46.7809, 0.49999899999999997]","[0, 1]",EC,Ch&acirc;tellerault Sud,"{'numero': '27', 'roadname': 'A10'}"
210,"[46.8377, 0.524732]","[0, 1]",EC,Ch&acirc;tellerault Nord,"{'numero': '26', 'roadname': 'A10'}"
211,"[46.9065, 0.522963]","[-0.331173, -0.9435700000000001]",AS,Ch&acirc;tellerault-Antran,{'roadname': 'A10'}
212,"[46.9065, 0.522963]","[0.124121, 0.992267]",AS,Ch&acirc;tellerault-Usseau,{'roadname': 'A10'}
213,"[47.0256, 0.567098]","[-0.267911, -0.963444]",AR,Maill&eacute;,{'roadname': 'A10'}
214,"[47.0256, 0.567098]","[0.260167, 0.965564]",AR,Nou&acirc;tre,{'roadname': 'A10'}
215,"[47.1667, 0.63126]","[0.20449599999999998, 0.9788669999999999]",AS,Fontaine Colette,{'roadname': 'A10'}
216,"[47.1667, 0.63126]","[-0.341036, -0.94005]",AS,Sainte Maure de la Tourraine,{'roadname': 'A10'}
217,"[47.1052, 0.590222]","[0, 1]",EC,Sainte-Maure,"{'numero': '25', 'roadname': 'A10'}"
218,"[47.2185, 0.657616]","[-0.0871557, -0.9961949999999999]",BA,Barri&egrave;re de Sorigny,{'roadname': 'A10'}
219,"[47.3124, -0.0347525]","[0, 1]",EC,Saumur,"{'numero': '3', 'roadname': 'A85'}"
220,"[47.26, 0.143017]","[0.910539, -0.41342199999999996]",AR,Chouz&eacute; sur Loire,{'roadname': 'A85'}
221,"[47.26, 0.143017]","[-0.9231429999999999, 0.38445599999999996]",AR,Saint-Nicolas-de-Bourgueil,{'roadname': 'A85'}
222,"[47.2568, 0.167344]","[0, 1]",EC,Bourgueil,"{'numero': '5', 'roadname': 'A85'}"
223,"[47.2702, 0.253926]","[0.819152, 0.573576]",BA,Barri&egrave;re de Restign&eacute;,{'roadname': 'A85'}
224,"[47.3138, 0.50678]","[0.6669229999999999, -0.745127]",AS,Les jardins de Villandry,{'roadname': 'A85'}
225,"[47.3138, 0.50678]","[-0.6669229999999999, 0.745127]",AS,Les jardins de Villandry,{'roadname': 'A85'}
226,"[47.3025, 0.549777]","[0, 1]",EC,Azay-le-Rideau,"{'numero': '9', 'roadname': 'A85'}"
227,"[47.3338, 0.446302]","[0, 1]",EC,Langeais,"{'numero': '7', 'roadname': 'A85'}"
228,"[47.3263, 0.477336]","[0, 1]",EC,Villandry,"{'numero': '8', 'roadname': 'A85'}"
229,"[47.2549, 0.665241]","[0, 1]",EC,Monts Sorigny,"{'numero': '24.1', 'roadname': 'A10'}"
230,"[47.2915, 0.68603]","[0.264715, 0.9643269999999999]",AR,Aire de Moulin rouge,{'roadname': 'A10'}
231,"[47.2915, 0.68603]","[-0.320117, -0.9473779999999999]",AR,Aire de Village Brul&eacute;,{'roadname': 'A10'}
