,coords,col_2,type,nom,dict
881,"[49.1371, 6.41105]","[0.9961949999999999, -0.0871557]",AR,Landonvillers Sud,{'roadname': 'A4'}
882,"[49.1409, 6.46837]","[0, 1]",EC,Boulay,"{'numero': '36', 'roadname': 'A4'}"
883,"[49.132, 6.5275]","[0.9681909999999999, -0.25021099999999996]",AR,Brouck,{'roadname': 'A4'}
884,"[49.1338, 6.54622]","[-0.9988900000000001, 0.047106499999999996]",AR,Narb&eacute;fontaine,{'roadname': 'A4'}
885,"[49.2852, 6.17337]","[0, 1]",BI,Jonction A30/A31,{'roadname': 'A30'}
886,"[49.1334, 6.65941]","[-0.9999819999999999, -0.00593408]",AS,Longeville Nord,{'roadname': 'A4'}
887,"[49.1334, 6.65941]","[0.950299, -0.31134]",AS,Longeville Sud,{'roadname': 'A4'}
888,"[49.136, 6.70185]","[0.9961949999999999, 0.0871557]",BA,Barri&egrave;re de Saint-Avold,{'roadname': 'A4'}
889,"[49.1361, 6.70872]","[0, 1]",EC,Saint-Avold,"{'numero': '37', 'roadname': 'A4'}"
890,"[49.1397, 6.8103]","[0, 1]",EC,Freyming,"{'numero': '38', 'roadname': 'A4'}"
891,"[49.1436, 6.81823]","[0, 1]",EC,Merlebach (1/2 &eacute;changeur Ouest),"{'numero': '41', 'roadname': 'A320'}"
892,"[49.0754, 6.89663]","[0.906308, -0.422618]",BA,Barri&egrave;re de Loupershouse,{'roadname': 'A4'}
893,"[49.1079, 6.8565000000000005]","[0, 1]",EC,Farebersviller,"{'numero': '39', 'roadname': 'A4'}"
894,"[49.0697, 6.91467]","[0, 1]",EC,Puttelange,"{'numero': '40', 'roadname': 'A4'}"
895,"[49.1981, 6.93616]","[0, 1]",EC,Stiring Wendel,"{'numero': '45', 'roadname': 'A320'}"
896,"[49.1811, 6.91794]","[0, 1]",EC,Forbach Centre,"{'numero': '44', 'roadname': 'A320'}"
897,"[49.1981, 6.93616]","[0, 1]",EC,Stiring Wendel,"{'numero': '45', 'roadname': 'A320'}"
898,"[49.1766, 6.8972]","[0, 1]",EC,Forbach Centre de loisirs,"{'numero': '43', 'roadname': 'A320'}"
899,"[49.1719, 6.88321]","[0, 1]",EC,Forbach Marienau,"{'numero': '42', 'roadname': 'A320'}"
900,"[49.1551, 6.84876]","[0, 1]",EC,Merlebach (1/2 &eacute;changeur Est),"{'numero': '41', 'roadname': 'A320'}"
901,"[49.1811, 6.91794]","[0, 1]",EC,Forbach Centre,"{'numero': '44', 'roadname': 'A320'}"
902,"[49.2037, 6.95806]","[0, 1]",LI,Fronti&egrave;re franco-allemande,{'roadname': 'A320'}
903,"[44.9039, 4.92454]","[0, 1]",EC,Malissard,"{'numero': '33', 'roadname': 'N7'}"
904,"[44.9545, 4.93511]","[0, 1]",EC,Valence Les Couleures,"{'numero': '35', 'roadname': 'N7'}"
905,"[44.9588, 4.93777]","[0, 1]",LI,Jonction N7/N532,{'roadname': 'N7'}
906,"[44.9776, 4.96667]","[0, 1]",EC,Saint Marcel l&egrave;s Valence,"{'numero': '3', 'roadname': 'N532'}"
907,"[44.9194, 4.94128]","[0, 1]",EC,Valence Briffaut,"{'numero': '34', 'roadname': 'N7'}"
908,"[44.9605, 4.94244]","[0, 1]",EC,Le Plovier,"{'numero': '2', 'roadname': 'N532'}"
909,"[44.9623, 4.9509]","[0.965926, 0.25881899999999997]",AR,Les Fruitiers,{'roadname': 'N532'}
910,"[44.9861, 4.97966]","[0, 1]",EC,Valence Gare TGV,"{'numero': '4', 'roadname': 'N532'}"
911,"[45.0203, 5.04085]","[0, 1]",EC,Bourg de P&eacute;age,"{'numero': '6', 'roadname': 'A49'}"
912,"[45.0172, 5.02936]","[0, 1]",LI,Limite A49,{'roadname': 'A49'}
913,"[44.9994, 5.00091]","[-0.766044, -0.642788]",AS,Les Marthes,{'roadname': 'N532'}
914,"[44.9987, 4.99986]","[0, 1]",EC,Alixan,"{'numero': '5', 'roadname': 'N532'}"
915,"[44.9994, 5.00091]","[0.766044, 0.642788]",AS,Bayale,{'roadname': 'N532'}
916,"[45.026, 5.09699]","[-0.965926, -0.25881899999999997]",BA,Barri&egrave;re de Chatuzange,{'roadname': 'A49'}
917,"[45.0239, 5.08175]","[0, 1]",EC,Chatuzange Le Goubet,"{'numero': '7', 'roadname': 'A49'}"
